Boarding Stop,Alighting Stop,Hour,Total
66379,62059,18,1
66379,62059,19,1
66379,66359,9,1
66379,66359,10,1
66379,66359,19,1
66379,70279,6,1
66379,70279,17,1
66379,70279,19,1
66379,70289,8,1
66379,70289,14,1
66379,70299,9,1
66379,70299,13,1
66379,70309,8,1
66379,70309,9,3
66379,70309,11,1
66379,70309,15,1
66379,70309,18,2
66379,71091,14,1
66379,71091,17,2
66379,71131,10,1
66379,71131,12,1
66379,71131,14,1
66379,71161,9,1
66379,71161,13,1
66379,71161,18,1
66379,72021,6,1
66379,72021,10,1
66379,72021,12,2
66379,72021,17,1
66379,72021,20,1
66379,72061,11,1
66379,72061,13,2
66379,72071,8,1
66379,72071,15,1
66379,72071,16,1
66379,75009,6,1
66379,75009,9,1
66379,75009,10,1
66379,75009,11,2
66379,75009,13,1
66379,75009,16,4
66379,75009,18,1
66379,75341,20,1
66379,76119,7,1
66379,76129,8,1
66379,76129,10,1
66379,76129,11,1
66379,76129,19,1
66379,76289,9,2
66379,76289,13,1
66379,76289,14,1
66379,76289,15,1
66379,84461,13,2
66379,84471,9,1
66379,84471,13,1
66379,84489,6,1
66379,84489,19,1
66379,84499,8,1
66379,84499,12,1
66379,84499,15,1
66379,84499,20,4
66379,84621,10,1
66379,84621,19,1
70269,,8,1
70269,,13,1
70269,71091,7,1
70269,71151,8,1
70269,72021,6,1
70269,75009,11,2
70269,75009,16,2
70269,75341,7,1
70269,75341,16,1
70269,76119,16,1
70269,76129,15,1
70269,76129,16,1
70269,76129,18,2
70269,76289,7,2
70269,76289,11,1
70269,76289,16,1
70269,84471,17,1
70269,84489,18,1
70269,84489,20,1
70279,,17,1
70279,71161,14,2
70279,72071,15,1
70279,75009,12,6
70279,75009,15,1
70279,76119,17,1
70279,76289,11,2
70279,84471,12,3
70279,84471,17,1
70289,71131,17,1
70289,71161,17,1
70289,72061,14,1
70289,72061,15,2
70289,72061,17,1
70289,84471,17,3
70289,84499,18,1
70299,,12,1
70299,,14,1
70299,,15,1
70299,70269,11,1
70299,70279,16,1
70299,71091,7,2
70299,71131,9,1
70299,71131,13,2
70299,71131,18,2
70299,71131,19,2
70299,71131,20,1
70299,71141,19,1
70299,71151,11,1
70299,71161,11,1
70299,71161,18,1
70299,71161,20,1
70299,72021,17,1
70299,72061,13,1
70299,72061,18,2
70299,72061,20,1
70299,72071,8,1
70299,72071,18,2
70299,75009,17,1
70299,75009,18,1
70299,75009,19,3
70299,75341,16,1
70299,76119,18,1
70299,76129,13,4
70299,76129,15,2
70299,76129,17,1
70299,76129,20,1
70299,76289,20,1
70299,84461,7,1
70299,84471,9,1
70299,84471,12,2
70299,84471,14,2
70299,84471,17,1
70299,84471,18,1
70299,84471,20,1
70299,84489,18,1
70299,84601,7,2
70299,84621,16,1
70299,84631,7,1
70309,,13,1
70309,71131,16,1
70309,71131,19,1
70309,71151,8,2
70309,72061,13,1
70309,75009,13,1
70309,75009,15,1
70309,75009,17,1
70309,75341,8,1
70309,76289,6,1
70309,76289,12,1
70309,84471,20,1
70309,84621,20,1
71091,,8,1
71091,,9,1
71091,,11,1
71091,,13,2
71091,,18,1
71091,72061,15,1
71091,72071,6,1
71091,72071,7,2
71091,72071,8,2
71091,72071,11,3
71091,75009,8,1
71091,75009,9,2
71091,75009,11,5
71091,75009,12,1
71091,75009,13,1
71091,75009,14,2
71091,75009,15,5
71091,75009,16,5
71091,75009,20,2
71091,75341,9,1
71091,76119,10,1
71091,76129,8,1
71091,76129,13,1
71091,76129,15,1
71091,76289,11,2
71091,76289,20,1
71091,84471,6,1
71091,84471,13,1
71091,84489,14,1
71091,84499,18,1
71091,84621,7,1
71131,,14,1
71131,71091,8,1
71131,71091,13,1
71131,71091,19,1
71131,72071,11,1
71131,72071,18,1
71131,75009,6,2
71131,75009,8,1
71131,75009,9,1
71131,75009,14,1
71131,75009,15,1
71131,75341,12,1
71131,75341,19,1
71131,76119,18,1
71131,76129,13,2
71131,76129,19,1
71131,76129,20,1
71131,76289,9,1
71131,76289,11,1
71131,76289,17,4
71131,76289,18,1
71131,84471,9,1
71131,84471,11,1
71131,84489,17,1
71131,84499,11,1
71131,84499,18,1
71131,84499,20,1
71131,84621,14,1
71131,84631,11,1
71141,71091,16,2
71141,71091,17,1
71141,72021,8,1
71141,72071,16,1
71141,72071,20,1
71141,75009,7,1
71141,75009,8,1
71141,76119,12,1
71141,76289,19,1
71151,,12,1
71151,71091,17,1
71151,71131,12,2
71151,71131,17,1
71151,71131,19,3
71151,72061,7,1
71151,72061,15,1
71151,72071,17,1
71151,75009,12,1
71151,75009,17,2
71151,76119,8,1
71151,76129,8,1
71151,76129,15,1
71151,76289,12,1
71151,84471,13,1
71151,84499,12,1
71151,84499,19,1
71161,,12,1
71161,,13,1
71161,,15,1
71161,,18,1
71161,,20,1
71161,71091,14,1
71161,71131,11,1
71161,71131,13,2
71161,71131,16,1
71161,72021,17,1
71161,72061,11,3
71161,72071,14,1
71161,72071,15,3
71161,72071,19,1
71161,75009,11,1
71161,75009,12,2
71161,75009,13,1
71161,75341,16,1
71161,76129,11,2
71161,76129,12,3
71161,76129,16,4
71161,76289,6,1
71161,84471,7,1
71161,84471,12,2
71161,84471,15,1
71161,84471,19,1
71161,84489,6,2
71161,84489,14,2
71161,84489,15,1
71161,84499,20,2
72021,,8,1
72021,,11,1
72021,,12,2
72021,72071,8,1
72021,75009,7,1
72021,75009,9,1
72021,75009,10,2
72021,75009,11,2
72021,75009,12,8
72021,75009,13,1
72021,75009,14,2
72021,75009,16,1
72021,75009,18,2
72021,75061,7,1
72021,75341,6,2
72021,75341,18,1
72021,76129,8,1
72021,76129,14,1
72021,76289,18,3
72021,84471,6,1
72021,84471,8,8
72021,84471,9,4
72021,84471,10,2
72021,84471,11,2
72021,84471,12,2
72021,84471,13,1
72021,84471,18,1
72021,84471,19,1
72021,84489,8,2
72021,84489,9,2
72021,84499,6,3
72021,84499,8,2
72021,84499,12,2
72021,84621,13,1
72061,,11,1
72061,,12,2
72061,,13,4
72061,,14,1
72061,,16,1
72061,,18,3
72061,,19,1
72061,,20,1
72061,75009,6,1
72061,75009,8,5
72061,75009,9,8
72061,75009,10,8
72061,75009,11,13
72061,75009,12,7
72061,75009,13,16
72061,75009,14,12
72061,75009,15,4
72061,75009,16,8
72061,75009,17,4
72061,75009,18,2
72061,75009,19,4
72061,75009,20,1
72061,75341,8,2
72061,75341,10,1
72061,75341,11,2
72061,75341,12,1
72061,76119,9,1
72061,76119,13,4
72061,76119,16,4
72061,76119,19,1
72061,76129,6,1
72061,76129,7,1
72061,76129,11,1
72061,76289,10,4
72061,76289,12,2
72061,76289,13,2
72061,84461,9,1
72061,84471,8,2
72061,84471,9,1
72061,84471,10,1
72061,84471,11,2
72061,84471,12,4
72061,84471,13,2
72061,84471,15,2
72061,84471,20,1
72061,84489,6,1
72061,84489,10,1
72061,84489,12,1
72061,84489,14,1
72061,84489,16,1
72061,84489,18,2
72061,84489,20,1
72061,84499,8,2
72061,84499,9,3
72061,84499,10,2
72061,84499,12,1
72061,84499,19,1
72061,84621,9,1
72061,84621,13,1
72071,,9,1
72071,,10,1
72071,75009,6,1
72071,75009,8,2
72071,75009,9,3
72071,75009,10,2
72071,75009,11,3
72071,75009,12,3
72071,75009,13,9
72071,75009,14,3
72071,75009,15,7
72071,75009,16,1
72071,75009,17,3
72071,75009,18,4
72071,75009,19,1
72071,75341,6,1
72071,75341,9,1
72071,75341,12,1
72071,75341,18,1
72071,76119,12,1
72071,76119,13,1
72071,76119,17,1
72071,76129,8,1
72071,76129,11,2
72071,76129,12,1
72071,76129,13,3
72071,76129,15,2
72071,76129,17,1
72071,76129,19,1
72071,76289,9,1
72071,76289,10,1
72071,76289,12,1
72071,76289,15,1
72071,76289,16,4
72071,84461,19,3
72071,84471,7,1
72071,84471,8,1
72071,84471,10,1
72071,84471,11,2
72071,84471,12,5
72071,84471,13,1
72071,84471,19,1
72071,84489,12,1
72071,84499,19,1
72071,84621,20,1
75061,,10,1
75341,,9,1
75341,,11,2
75341,,12,1
75341,,18,1
75341,75009,6,1
75341,75009,7,3
75341,75009,8,2
75341,75009,10,6
75341,75009,11,2
75341,75009,12,7
75341,75009,13,9
75341,75009,15,2
75341,75009,16,5
75341,75009,17,4
75341,75009,18,9
75341,75009,19,11
75341,75009,20,4
75341,76119,10,3
75341,76119,11,1
75341,76119,14,2
75341,76119,20,1
75341,76129,6,1
75341,76129,8,3
75341,76129,9,2
75341,76129,10,1
75341,76129,11,1
75341,76129,14,2
75341,76129,18,2
75341,76289,7,2
75341,76289,12,1
75341,76289,14,2
75341,76289,18,1
75341,76289,19,1
76119,,8,1
76119,75009,8,3
76119,75009,9,4
76119,75009,10,4
76119,75009,11,1
76119,75009,12,6
76119,75009,13,2
76119,75009,15,3
76119,75009,17,2
76119,75009,20,2
76129,,8,1
76129,,10,1
76129,,11,2
76129,,12,1
76129,,14,1
76129,,15,1
76129,,16,1
76129,,17,1
76129,75009,6,2
76129,75009,7,6
76129,75009,8,18
76129,75009,9,15
76129,75009,10,16
76129,75009,11,16
76129,75009,12,15
76129,75009,13,21
76129,75009,14,19
76129,75009,15,6
76129,75009,16,5
76129,75009,17,14
76129,75009,18,19
76129,75009,19,4
76129,75009,20,10
76289,,10,1
76289,,11,1
76289,,12,1
76289,,16,1
76289,,17,3
76289,,18,1
76289,,20,1
76289,75009,6,5
76289,75009,7,2
76289,75009,8,5
76289,75009,9,9
76289,75009,10,14
76289,75009,11,26
76289,75009,12,19
76289,75009,13,37
76289,75009,14,19
76289,75009,15,17
76289,75009,16,16
76289,75009,17,22
76289,75009,18,20
76289,75009,19,2
76289,75009,20,8
76289,76119,11,1
76289,76119,13,3
76289,76119,15,1
76289,76119,18,2
84461,,17,1
84461,,20,1
84461,75009,9,4
84461,75009,10,2
84461,75009,12,7
84461,75009,13,1
84461,75009,16,3
84461,75009,20,1
84461,75341,18,1
84461,76119,9,2
84461,76129,7,1
84461,76129,8,1
84461,76129,9,1
84461,76129,12,1
84461,76289,13,1
84461,76289,20,1
84461,84471,16,1
84471,,9,1
84471,,10,2
84471,,12,1
84471,,18,2
84471,75009,6,3
84471,75009,7,3
84471,75009,8,4
84471,75009,9,7
84471,75009,10,5
84471,75009,11,3
84471,75009,12,12
84471,75009,13,8
84471,75009,14,5
84471,75009,15,2
84471,75009,17,5
84471,75009,18,8
84471,75009,19,6
84471,75009,20,6
84471,75341,6,1
84471,75341,7,2
84471,75341,8,2
84471,75341,10,1
84471,75341,12,2
84471,75341,16,4
84471,75341,18,1
84471,75341,19,3
84471,75341,20,1
84471,76119,10,2
84471,76119,12,2
84471,76119,13,1
84471,76119,14,1
84471,76119,17,2
84471,76119,18,1
84471,76129,6,1
84471,76129,9,1
84471,76129,10,2
84471,76129,11,4
84471,76129,13,1
84471,76129,14,4
84471,76129,15,2
84471,76129,16,1
84471,76129,17,6
84471,76129,18,3
84471,76289,7,8
84471,76289,8,2
84471,76289,9,1
84471,76289,11,6
84471,76289,12,3
84471,76289,13,1
