,time,meanWaitTime,action,dispersion,headwaySD,disperion
1113,26407.0,299.10714285714283,No action,,823.2538879404324,15.47943722943723
1114,26453.0,314.55172413793105,No action,,825.909853360034,15.561212121212115
1115,26454.0,315.55172413793105,No action,,825.825967913033,15.561212121212115
1116,26464.0,309.57142857142856,No action,,822.9398250521249,15.656565656565657
1117,26466.0,311.57142857142856,No action,,822.6726038792488,15.656565656565657
1118,26468.0,313.57142857142856,No action,,821.8113718037889,15.656565656565657
1119,26471.0,306.037037037037,No action,,823.1757138537471,15.595230281150855
1120,26473.0,308.037037037037,No action,,824.717812758255,15.654634581105167
1121,26479.0,316.0769230769231,No action,,831.429897051476,16.675058275058277
1122,26480.0,317.0769230769231,No action,,832.4832092668337,16.796302796302793
1123,26484.0,285.962962962963,No action,,836.2592028125498,17.295454545454547
1124,26487.0,288.962962962963,No action,,839.1637360911019,17.17478972231824
1125,26508.0,298.77777777777777,No action,,856.0219046516191,17.211206403659233
1126,26511.0,301.77777777777777,No action,,856.3046350913191,17.211206403659233
1127,26534.0,291.5925925925926,No action,,859.4908087543614,17.18856489422527
1128,26567.0,324.5925925925926,No action,,856.3235024227703,17.310606060606062
1129,26573.0,302.60714285714283,No action,,855.4763004913952,17.306094654409257
1130,26575.0,299.9642857142857,No action,,855.1896957006009,17.31908638625056
1131,26585.0,290.84615384615387,No action,,856.4629364196942,17.151515151515152
1132,26604.0,304.03846153846155,No action,,853.1711207055467,17.151515151515152
1133,26644.0,310.51724137931035,No action,,854.0865699631183,16.457552625491555
1134,26652.0,327.07142857142856,No action,,853.1776730198521,16.627261205207976
1135,26663.0,319.39285714285717,No action,,840.0788728366525,16.75
1136,26678.0,327.55555555555554,No action,,841.5921503335613,16.743905217589425
1137,26690.0,332.53846153846155,No action,,842.316253918083,16.743905217589425
1138,26692.0,334.53846153846155,No action,,842.3233812927708,16.743905217589425
1139,26695.0,317.1923076923077,No action,,843.0569495449397,16.833614960009015
1140,26700.0,324.0869565217391,No action,,862.0679589633785,16.95762048529576
1141,26707.0,317.4583333333333,No action,,848.2576446080194,17.145882618001576
1142,26708.0,318.4583333333333,No action,,847.7537972251372,17.145882618001576
1143,26748.0,328.61538461538464,No action,,846.855478732565,17.096356826693903
1144,26755.0,323.3703703703704,No action,,845.4445724795801,17.202551834130777
1145,26759.0,317.18518518518516,No action,,845.6288119931828,17.24253689309451
1146,26775.0,310.6551724137931,No action,,846.5304244613511,17.125056535504296
1147,26776.0,311.6551724137931,No action,,846.4849942572811,17.125056535504296
1148,26786.0,313.85714285714283,No action,,844.1917351803004,16.893713251922208
1149,26801.0,318.4074074074074,No action,,842.4043052413041,16.893713251922208
1150,26805.0,310.92857142857144,No action,,842.950899775183,16.75927817500851
1151,26810.0,302.77777777777777,No action,,843.0523547920939,16.469302692351018
1152,26824.0,305.9642857142857,No action,,843.830126153892,16.505653550429667
1153,26826.0,307.9642857142857,No action,,844.2585034991689,16.505653550429667
1154,26827.0,287.60714285714283,No action,,844.8341411049458,16.330314212233027
1155,26837.0,299.0,No action,,849.2517658591381,16.287712287712285
1156,26841.0,281.5357142857143,No action,,850.2501249535245,16.287712287712285
1157,26846.0,277.5,No action,,850.5482038501077,16.256513474225653
1158,26849.0,280.5,No action,,850.928723706169,16.256513474225653
1159,26859.0,290.5,No action,,850.3329672230828,16.408638625056536
1160,26884.0,303.85185185185185,No action,,849.30456080292,16.426300743281878
1161,26891.0,312.34615384615387,No action,,824.904590526697,16.36227442969015
1162,26897.0,313.4230769230769,No action,,826.1922503564676,16.535504296698324
1163,26910.0,314.51851851851853,No action,,826.2103715913555,16.237621497998855
1164,26917.0,321.51851851851853,No action,,825.5679367611508,16.21212121212121
1165,26930.0,315.07142857142856,No action,,825.9631527166976,16.21212121212121
1166,26932.0,317.07142857142856,No action,,826.0027102214127,16.21212121212121
1167,26943.0,328.07142857142856,No action,,825.3664703321715,16.259079343048807
1168,26948.0,306.51724137931035,No action,,824.751062645748,16.516866781017722
1169,26968.0,292.43333333333334,No action,,823.0624488949569,16.42811574390522
1170,26970.0,294.43333333333334,No action,,822.9584376355707,16.42811574390522
1171,26973.0,294.46666666666664,No action,,822.2034853315407,16.309839972761317
1172,26978.0,283.13793103448273,No action,,820.899005779972,16.429690160027235
1173,26980.0,285.13793103448273,No action,,820.7600476713811,16.37878787878788
1174,26982.0,287.13793103448273,No action,,820.1852028719542,16.37878787878788
1175,26989.0,285.25925925925924,No action,,818.7491989123048,16.714478114478116
1176,26993.0,289.25925925925924,No action,,817.7910888560272,16.714478114478116
1177,26996.0,292.25925925925924,No action,,817.4090019763765,16.833614960009015
1178,27011.0,268.48275862068965,No action,,817.3113834087634,16.59540459540459
1179,27014.0,262.53333333333336,No action,,817.3546497537253,16.698752228163993
